location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ehrenstraße (Mitte), Köln;2020-06-02 00:00:00 +0200;Tuesday;18206;28;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-03 00:00:00 +0200;Wednesday;18063;25;rain;
Ehrenstraße (Mitte), Köln;2020-06-04 00:00:00 +0200;Thursday;12888;18;rain;
Ehrenstraße (Mitte), Köln;2020-06-05 00:00:00 +0200;Friday;14479;14;rain;
Ehrenstraße (Mitte), Köln;2020-06-06 00:00:00 +0200;Saturday;30356;18;rain;
Ehrenstraße (Mitte), Köln;2020-06-07 00:00:00 +0200;Sunday;9218;19;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-08 00:00:00 +0200;Monday;17829;20;rain;
Ehrenstraße (Mitte), Köln;2020-06-09 00:00:00 +0200;Tuesday;18489;20;rain;
Ehrenstraße (Mitte), Köln;2020-06-10 00:00:00 +0200;Wednesday;19005;20;rain;
Ehrenstraße (Mitte), Köln;2020-06-11 00:00:00 +0200;Thursday;8625;22;rain;
Ehrenstraße (Mitte), Köln;2020-06-12 00:00:00 +0200;Friday;26605;27;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-13 00:00:00 +0200;Saturday;28624;26;rain;
Ehrenstraße (Mitte), Köln;2020-06-14 00:00:00 +0200;Sunday;6764;22;rain;
Ehrenstraße (Mitte), Köln;2020-06-15 00:00:00 +0200;Monday;18117;23;cloudy;
Ehrenstraße (Mitte), Köln;2020-06-16 00:00:00 +0200;Tuesday;14517;21;rain;
Ehrenstraße (Mitte), Köln;2020-06-17 00:00:00 +0200;Wednesday;17568;24;rain;
Ehrenstraße (Mitte), Köln;2020-06-18 00:00:00 +0200;Thursday;18924;24;rain;
Ehrenstraße (Mitte), Köln;2020-06-19 00:00:00 +0200;Friday;23397;23;rain;
Ehrenstraße (Mitte), Köln;2020-06-20 00:00:00 +0200;Saturday;31595;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-06-21 00:00:00 +0200;Sunday;8650;26;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-22 00:00:00 +0200;Monday;19120;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-23 00:00:00 +0200;Tuesday;18567;28;clear-day;
Ehrenstraße (Mitte), Köln;2020-06-24 00:00:00 +0200;Wednesday;17614;30;clear-day;
Ehrenstraße (Mitte), Köln;2020-06-25 00:00:00 +0200;Thursday;17421;28;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-26 00:00:00 +0200;Friday;19271;31;rain;
Ehrenstraße (Mitte), Köln;2020-06-27 00:00:00 +0200;Saturday;28770;27;rain;
Ehrenstraße (Mitte), Köln;2020-06-28 00:00:00 +0200;Sunday;8710;22;rain;
Ehrenstraße (Mitte), Köln;2020-06-29 00:00:00 +0200;Monday;19641;21;rain;
Ehrenstraße (Mitte), Köln;2020-06-30 00:00:00 +0200;Tuesday;20482;22;rain;
Ehrenstraße (Mitte), Köln;2020-07-01 00:00:00 +0200;Wednesday;16418;23;rain;
Ehrenstraße (Mitte), Köln;2020-07-02 00:00:00 +0200;Thursday;18216;22;rain;
Ehrenstraße (Mitte), Köln;2020-07-03 00:00:00 +0200;Friday;23721;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-04 00:00:00 +0200;Saturday;32520;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-05 00:00:00 +0200;Sunday;8498;24;cloudy;
Ehrenstraße (Mitte), Köln;2020-07-06 00:00:00 +0200;Monday;18330;19;rain;
Ehrenstraße (Mitte), Köln;2020-07-07 00:00:00 +0200;Tuesday;20102;21;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-08 00:00:00 +0200;Wednesday;13108;16;rain;
Ehrenstraße (Mitte), Köln;2020-07-09 00:00:00 +0200;Thursday;19152;24;rain;
Ehrenstraße (Mitte), Köln;2020-07-10 00:00:00 +0200;Friday;21873;21;rain;
Ehrenstraße (Mitte), Köln;2020-07-11 00:00:00 +0200;Saturday;34462;21;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-12 00:00:00 +0200;Sunday;8987;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-07-13 00:00:00 +0200;Monday;19152;26;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-14 00:00:00 +0200;Tuesday;17293;23;rain;
Ehrenstraße (Mitte), Köln;2020-07-15 00:00:00 +0200;Wednesday;20878;22;rain;
Ehrenstraße (Mitte), Köln;2020-07-16 00:00:00 +0200;Thursday;15930;17;rain;
Ehrenstraße (Mitte), Köln;2020-07-17 00:00:00 +0200;Friday;22940;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-18 00:00:00 +0200;Saturday;29858;26;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-19 00:00:00 +0200;Sunday;519;28;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-19 00:00:00 +0200;Sunday;8010;;;
Ehrenstraße (Mitte), Köln;2020-07-20 00:00:00 +0200;Monday;19060;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-21 00:00:00 +0200;Tuesday;20506;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-07-22 00:00:00 +0200;Wednesday;20483;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-23 00:00:00 +0200;Thursday;19961;26;clear-day;
Ehrenstraße (Mitte), Köln;2020-07-24 00:00:00 +0200;Friday;22262;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-25 00:00:00 +0200;Saturday;29829;26;rain;
Ehrenstraße (Mitte), Köln;2020-07-26 00:00:00 +0200;Sunday;8624;23;rain;
Ehrenstraße (Mitte), Köln;2020-07-27 00:00:00 +0200;Monday;19227;28;cloudy;
Ehrenstraße (Mitte), Köln;2020-07-28 00:00:00 +0200;Tuesday;20382;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-29 00:00:00 +0200;Wednesday;21255;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-30 00:00:00 +0200;Thursday;20429;29;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-07-31 00:00:00 +0200;Friday;18091;34;clear-day;
Ehrenstraße (Mitte), Köln;2020-08-01 00:00:00 +0200;Saturday;25301;31;rain;
Ehrenstraße (Mitte), Köln;2020-08-02 00:00:00 +0200;Sunday;8346;25;rain;
Ehrenstraße (Mitte), Köln;2020-08-03 00:00:00 +0200;Monday;20745;25;cloudy;
Ehrenstraße (Mitte), Köln;2020-08-04 00:00:00 +0200;Tuesday;22891;24;rain;
Ehrenstraße (Mitte), Köln;2020-08-05 00:00:00 +0200;Wednesday;20437;30;clear-day;
Ehrenstraße (Mitte), Köln;2020-08-06 00:00:00 +0200;Thursday;18776;32;clear-day;
Ehrenstraße (Mitte), Köln;2020-08-07 00:00:00 +0200;Friday;18705;34;clear-day;
Ehrenstraße (Mitte), Köln;2020-08-08 00:00:00 +0200;Saturday;19260;36;clear-day;
Ehrenstraße (Mitte), Köln;2020-08-09 00:00:00 +0200;Sunday;6860;34;rain;
Ehrenstraße (Mitte), Köln;2020-08-10 00:00:00 +0200;Monday;16702;34;rain;
Ehrenstraße (Mitte), Köln;2020-08-11 00:00:00 +0200;Tuesday;16866;33;rain;
Ehrenstraße (Mitte), Köln;2020-08-12 00:00:00 +0200;Wednesday;15289;32;rain;
Ehrenstraße (Mitte), Köln;2020-08-13 00:00:00 +0200;Thursday;17369;32;rain;
Ehrenstraße (Mitte), Köln;2020-08-14 00:00:00 +0200;Friday;20723;29;rain;
Ehrenstraße (Mitte), Köln;2020-08-15 00:00:00 +0200;Saturday;29814;29;rain;
Ehrenstraße (Mitte), Köln;2020-08-16 00:00:00 +0200;Sunday;7757;31;rain;
Ehrenstraße (Mitte), Köln;2020-08-17 00:00:00 +0200;Monday;16912;27;rain;
Ehrenstraße (Mitte), Köln;2020-08-18 00:00:00 +0200;Tuesday;16938;26;rain;
Ehrenstraße (Mitte), Köln;2020-08-19 00:00:00 +0200;Wednesday;19939;28;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-08-20 00:00:00 +0200;Thursday;18374;30;rain;
Ehrenstraße (Mitte), Köln;2020-08-21 00:00:00 +0200;Friday;20863;30;rain;
Ehrenstraße (Mitte), Köln;2020-08-22 00:00:00 +0200;Saturday;31802;26;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-08-23 00:00:00 +0200;Sunday;8620;23;rain;
Ehrenstraße (Mitte), Köln;2020-08-24 00:00:00 +0200;Monday;18225;23;rain;
Ehrenstraße (Mitte), Köln;2020-08-25 00:00:00 +0200;Tuesday;18348;23;rain;
Ehrenstraße (Mitte), Köln;2020-08-26 00:00:00 +0200;Wednesday;17479;21;rain;
Ehrenstraße (Mitte), Köln;2020-08-27 00:00:00 +0200;Thursday;20307;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-08-28 00:00:00 +0200;Friday;23411;22;rain;
Ehrenstraße (Mitte), Köln;2020-08-29 00:00:00 +0200;Saturday;35503;22;rain;
Ehrenstraße (Mitte), Köln;2020-08-30 00:00:00 +0200;Sunday;9235;22;rain;
Ehrenstraße (Mitte), Köln;2020-08-31 00:00:00 +0200;Monday;18489;20;rain;
Ehrenstraße (Mitte), Köln;2020-09-01 00:00:00 +0200;Tuesday;19082;20;rain;
Ehrenstraße (Mitte), Köln;2020-09-02 00:00:00 +0200;Wednesday;19965;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-03 00:00:00 +0200;Thursday;15406;19;rain;
Ehrenstraße (Mitte), Köln;2020-09-04 00:00:00 +0200;Friday;22738;23;cloudy;
Ehrenstraße (Mitte), Köln;2020-09-05 00:00:00 +0200;Saturday;35831;21;rain;
Ehrenstraße (Mitte), Köln;2020-09-06 00:00:00 +0200;Sunday;9316;21;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-07 00:00:00 +0200;Monday;40;22;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-07 00:00:00 +0200;Monday;18715;;;
Ehrenstraße (Mitte), Köln;2020-09-08 00:00:00 +0200;Tuesday;18620;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-09 00:00:00 +0200;Wednesday;18561;25;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-10 00:00:00 +0200;Thursday;19908;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-11 00:00:00 +0200;Friday;22969;24;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-12 00:00:00 +0200;Saturday;33843;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-13 00:00:00 +0200;Sunday;8749;26;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-14 00:00:00 +0200;Monday;16979;31;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-15 00:00:00 +0200;Tuesday;16729;33;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-16 00:00:00 +0200;Wednesday;17873;29;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-17 00:00:00 +0200;Thursday;19168;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-18 00:00:00 +0200;Friday;22885;25;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-19 00:00:00 +0200;Saturday;32924;26;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-20 00:00:00 +0200;Sunday;9632;27;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-09-21 00:00:00 +0200;Monday;17903;26;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-22 00:00:00 +0200;Tuesday;18526;26;clear-day;
Ehrenstraße (Mitte), Köln;2020-09-23 00:00:00 +0200;Wednesday;18654;25;rain;
