location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Zeil (Mitte), Frankfurt a.M.;2020-04-14 00:00:00 +0200;Tuesday;15845;11;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-15 00:00:00 +0200;Wednesday;15581;18;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-16 00:00:00 +0200;Thursday;18422;24;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-17 00:00:00 +0200;Friday;16580;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-18 00:00:00 +0200;Saturday;18745;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-04-19 00:00:00 +0200;Sunday;8872;18;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-20 00:00:00 +0200;Monday;29351;20;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-21 00:00:00 +0200;Tuesday;25901;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-22 00:00:00 +0200;Wednesday;25452;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-23 00:00:00 +0200;Thursday;28585;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-24 00:00:00 +0200;Friday;24550;24;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-25 00:00:00 +0200;Saturday;34110;17;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-26 00:00:00 +0200;Sunday;9291;21;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-27 00:00:00 +0200;Monday;31041;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-04-28 00:00:00 +0200;Tuesday;26513;19;rain;
Zeil (Mitte), Frankfurt a.M.;2020-04-29 00:00:00 +0200;Wednesday;30323;18;rain;
Zeil (Mitte), Frankfurt a.M.;2020-04-30 00:00:00 +0200;Thursday;29538;16;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-01 00:00:00 +0200;Friday;8537;14;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-02 00:00:00 +0200;Saturday;42010;14;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-03 00:00:00 +0200;Sunday;11127;18;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-04 00:00:00 +0200;Monday;33725;17;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-05 00:00:00 +0200;Tuesday;39067;16;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-06 00:00:00 +0200;Wednesday;38558;17;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-07 00:00:00 +0200;Thursday;43134;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-08 00:00:00 +0200;Friday;41698;25;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-05-09 00:00:00 +0200;Saturday;41508;21;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-05-10 00:00:00 +0200;Sunday;11176;24;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-11 00:00:00 +0200;Monday;14371;16;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-12 00:00:00 +0200;Tuesday;39270;14;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-13 00:00:00 +0200;Wednesday;37238;15;cloudy;
Zeil (Mitte), Frankfurt a.M.;2020-05-14 00:00:00 +0200;Thursday;41882;15;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-15 00:00:00 +0200;Friday;46029;18;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-16 00:00:00 +0200;Saturday;65095;20;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-17 00:00:00 +0200;Sunday;15969;20;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-18 00:00:00 +0200;Monday;45694;24;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-19 00:00:00 +0200;Tuesday;44088;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-20 00:00:00 +0200;Wednesday;50435;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-21 00:00:00 +0200;Thursday;18239;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-22 00:00:00 +0200;Friday;58551;26;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-23 00:00:00 +0200;Saturday;54974;19;rain;
Zeil (Mitte), Frankfurt a.M.;2020-05-24 00:00:00 +0200;Sunday;16156;19;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-25 00:00:00 +0200;Monday;49003;20;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-26 00:00:00 +0200;Tuesday;46788;20;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-27 00:00:00 +0200;Wednesday;52350;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-28 00:00:00 +0200;Thursday;57121;22;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-29 00:00:00 +0200;Friday;64727;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-30 00:00:00 +0200;Saturday;736;21;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-05-30 00:00:00 +0200;Saturday;89561;;;
Zeil (Mitte), Frankfurt a.M.;2020-05-31 00:00:00 +0200;Sunday;22672;21;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-01 00:00:00 +0200;Monday;22851;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-02 00:00:00 +0200;Tuesday;62361;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2020-06-03 00:00:00 +0200;Wednesday;55582;28;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-04 00:00:00 +0200;Thursday;41930;19;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-05 00:00:00 +0200;Friday;47432;15;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-06 00:00:00 +0200;Saturday;87127;18;rain;
Zeil (Mitte), Frankfurt a.M.;2020-06-07 00:00:00 +0200;Sunday;19879;20;partly-cloudy-day;
