location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Planken (Ost), Mannheim;2020-05-24 00:00:00 +0200;Sunday;5975;19;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-25 00:00:00 +0200;Monday;16068;20;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-26 00:00:00 +0200;Tuesday;16067;21;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-27 00:00:00 +0200;Wednesday;15576;25;clear-day;
Planken (Ost), Mannheim;2020-05-28 00:00:00 +0200;Thursday;16871;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-29 00:00:00 +0200;Friday;18540;22;clear-day;
Planken (Ost), Mannheim;2020-05-30 00:00:00 +0200;Saturday;155;22;clear-day;
Planken (Ost), Mannheim;2020-05-30 00:00:00 +0200;Saturday;25822;;;
Planken (Ost), Mannheim;2020-05-31 00:00:00 +0200;Sunday;6897;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-06-01 00:00:00 +0200;Monday;6050;27;clear-day;
Planken (Ost), Mannheim;2020-06-02 00:00:00 +0200;Tuesday;15120;28;partly-cloudy-day;
Planken (Ost), Mannheim;2020-06-03 00:00:00 +0200;Wednesday;12460;28;rain;
Planken (Ost), Mannheim;2020-06-04 00:00:00 +0200;Thursday;11399;20;rain;
Planken (Ost), Mannheim;2020-06-05 00:00:00 +0200;Friday;13515;15;rain;
Planken (Ost), Mannheim;2020-06-06 00:00:00 +0200;Saturday;24091;18;rain;
Planken (Ost), Mannheim;2020-06-07 00:00:00 +0200;Sunday;6105;20;partly-cloudy-day;
Planken (Ost), Mannheim;2020-06-08 00:00:00 +0200;Monday;15440;21;partly-cloudy-day;
Planken (Ost), Mannheim;2020-06-09 00:00:00 +0200;Tuesday;15915;19;rain;
Planken (Ost), Mannheim;2020-06-10 00:00:00 +0200;Wednesday;14315;19;rain;
Planken (Ost), Mannheim;2020-06-11 00:00:00 +0200;Thursday;7013;21;rain;
Planken (Ost), Mannheim;2020-06-12 00:00:00 +0200;Friday;20829;29;clear-day;
Planken (Ost), Mannheim;2020-06-13 00:00:00 +0200;Saturday;23632;27;rain;
Planken (Ost), Mannheim;2020-06-14 00:00:00 +0200;Sunday;4114;22;rain;
Planken (Ost), Mannheim;2020-06-15 00:00:00 +0200;Monday;15047;22;rain;
Planken (Ost), Mannheim;2020-06-16 00:00:00 +0200;Tuesday;12084;21;rain;
Planken (Ost), Mannheim;2020-06-17 00:00:00 +0200;Wednesday;10475;23;rain;
Planken (Ost), Mannheim;2020-06-18 00:00:00 +0200;Thursday;15338;24;rain;
Planken (Ost), Mannheim;2020-06-19 00:00:00 +0200;Friday;16775;23;rain;
Planken (Ost), Mannheim;2020-06-20 00:00:00 +0200;Saturday;24982;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-06-21 00:00:00 +0200;Sunday;6164;26;clear-day;
Planken (Ost), Mannheim;2020-06-22 00:00:00 +0200;Monday;14131;25;rain;
Planken (Ost), Mannheim;2020-06-23 00:00:00 +0200;Tuesday;12901;28;clear-day;
Planken (Ost), Mannheim;2020-06-24 00:00:00 +0200;Wednesday;11208;29;clear-day;
Planken (Ost), Mannheim;2020-06-25 00:00:00 +0200;Thursday;12525;27;clear-day;
Planken (Ost), Mannheim;2020-06-26 00:00:00 +0200;Friday;13469;31;rain;
Planken (Ost), Mannheim;2020-06-27 00:00:00 +0200;Saturday;21793;28;rain;
Planken (Ost), Mannheim;2020-06-28 00:00:00 +0200;Sunday;4376;25;rain;
Planken (Ost), Mannheim;2020-06-29 00:00:00 +0200;Monday;14371;24;rain;
Planken (Ost), Mannheim;2020-06-30 00:00:00 +0200;Tuesday;15230;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-01 00:00:00 +0200;Wednesday;12928;30;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-02 00:00:00 +0200;Thursday;14359;26;rain;
Planken (Ost), Mannheim;2020-07-03 00:00:00 +0200;Friday;17473;26;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-04 00:00:00 +0200;Saturday;25093;26;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-05 00:00:00 +0200;Sunday;5620;28;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-06 00:00:00 +0200;Monday;15868;23;rain;
Planken (Ost), Mannheim;2020-07-07 00:00:00 +0200;Tuesday;14661;24;clear-day;
Planken (Ost), Mannheim;2020-07-08 00:00:00 +0200;Wednesday;13920;24;rain;
Planken (Ost), Mannheim;2020-07-09 00:00:00 +0200;Thursday;13592;30;rain;
Planken (Ost), Mannheim;2020-07-10 00:00:00 +0200;Friday;16967;25;rain;
Planken (Ost), Mannheim;2020-07-11 00:00:00 +0200;Saturday;25891;23;rain;
Planken (Ost), Mannheim;2020-07-12 00:00:00 +0200;Sunday;6475;25;clear-day;
Planken (Ost), Mannheim;2020-07-13 00:00:00 +0200;Monday;14336;28;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-14 00:00:00 +0200;Tuesday;14041;28;cloudy;
Planken (Ost), Mannheim;2020-07-15 00:00:00 +0200;Wednesday;12528;22;rain;
Planken (Ost), Mannheim;2020-07-16 00:00:00 +0200;Thursday;13087;18;rain;
Planken (Ost), Mannheim;2020-07-17 00:00:00 +0200;Friday;17479;25;rain;
Planken (Ost), Mannheim;2020-07-18 00:00:00 +0200;Saturday;23787;27;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-19 00:00:00 +0200;Sunday;348;30;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-19 00:00:00 +0200;Sunday;5201;;;
Planken (Ost), Mannheim;2020-07-20 00:00:00 +0200;Monday;14010;29;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-21 00:00:00 +0200;Tuesday;13428;27;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-22 00:00:00 +0200;Wednesday;12768;28;clear-day;
Planken (Ost), Mannheim;2020-07-23 00:00:00 +0200;Thursday;13638;28;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-24 00:00:00 +0200;Friday;16022;29;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-25 00:00:00 +0200;Saturday;21157;28;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-26 00:00:00 +0200;Sunday;830;26;rain;
Planken (Ost), Mannheim;2020-07-27 00:00:00 +0200;Monday;5164;31;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-28 00:00:00 +0200;Tuesday;14348;29;partly-cloudy-day;
Planken (Ost), Mannheim;2020-07-29 00:00:00 +0200;Wednesday;14097;27;clear-day;
Planken (Ost), Mannheim;2020-07-30 00:00:00 +0200;Thursday;13088;31;clear-day;
Planken (Ost), Mannheim;2020-07-31 00:00:00 +0200;Friday;13438;35;clear-day;
Planken (Ost), Mannheim;2020-08-01 00:00:00 +0200;Saturday;19748;32;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-02 00:00:00 +0200;Sunday;6331;27;rain;
Planken (Ost), Mannheim;2020-08-03 00:00:00 +0200;Monday;15424;22;rain;
Planken (Ost), Mannheim;2020-08-04 00:00:00 +0200;Tuesday;17053;25;rain;
Planken (Ost), Mannheim;2020-08-05 00:00:00 +0200;Wednesday;14190;28;clear-day;
Planken (Ost), Mannheim;2020-08-06 00:00:00 +0200;Thursday;13516;31;clear-day;
Planken (Ost), Mannheim;2020-08-07 00:00:00 +0200;Friday;12479;34;clear-day;
Planken (Ost), Mannheim;2020-08-08 00:00:00 +0200;Saturday;13813;35;clear-day;
Planken (Ost), Mannheim;2020-08-09 00:00:00 +0200;Sunday;4288;36;clear-day;
Planken (Ost), Mannheim;2020-08-10 00:00:00 +0200;Monday;11979;35;rain;
Planken (Ost), Mannheim;2020-08-11 00:00:00 +0200;Tuesday;10740;36;rain;
Planken (Ost), Mannheim;2020-08-12 00:00:00 +0200;Wednesday;10625;35;rain;
Planken (Ost), Mannheim;2020-08-13 00:00:00 +0200;Thursday;14666;29;rain;
Planken (Ost), Mannheim;2020-08-14 00:00:00 +0200;Friday;15697;27;rain;
Planken (Ost), Mannheim;2020-08-15 00:00:00 +0200;Saturday;21832;30;rain;
Planken (Ost), Mannheim;2020-08-16 00:00:00 +0200;Sunday;5252;32;rain;
Planken (Ost), Mannheim;2020-08-17 00:00:00 +0200;Monday;13916;27;rain;
Planken (Ost), Mannheim;2020-08-18 00:00:00 +0200;Tuesday;13311;27;rain;
Planken (Ost), Mannheim;2020-08-19 00:00:00 +0200;Wednesday;14347;28;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-20 00:00:00 +0200;Thursday;11968;33;rain;
Planken (Ost), Mannheim;2020-08-21 00:00:00 +0200;Friday;12807;34;rain;
Planken (Ost), Mannheim;2020-08-22 00:00:00 +0200;Saturday;23376;27;rain;
Planken (Ost), Mannheim;2020-08-23 00:00:00 +0200;Sunday;6064;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-24 00:00:00 +0200;Monday;14477;24;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-25 00:00:00 +0200;Tuesday;14569;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-26 00:00:00 +0200;Wednesday;14053;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-27 00:00:00 +0200;Thursday;14781;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-08-28 00:00:00 +0200;Friday;15466;23;rain;
Planken (Ost), Mannheim;2020-08-29 00:00:00 +0200;Saturday;26851;22;cloudy;
Planken (Ost), Mannheim;2020-08-30 00:00:00 +0200;Sunday;4861;20;rain;
Planken (Ost), Mannheim;2020-08-31 00:00:00 +0200;Monday;16878;21;rain;
Planken (Ost), Mannheim;2020-09-01 00:00:00 +0200;Tuesday;16731;22;rain;
Planken (Ost), Mannheim;2020-09-02 00:00:00 +0200;Wednesday;16502;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-03 00:00:00 +0200;Thursday;15672;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-04 00:00:00 +0200;Friday;17520;29;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-05 00:00:00 +0200;Saturday;28932;24;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-06 00:00:00 +0200;Sunday;7289;21;cloudy;
Planken (Ost), Mannheim;2020-09-07 00:00:00 +0200;Monday;57;24;clear-day;
Planken (Ost), Mannheim;2020-09-07 00:00:00 +0200;Monday;16772;;;
Planken (Ost), Mannheim;2020-09-08 00:00:00 +0200;Tuesday;15933;27;clear-day;
Planken (Ost), Mannheim;2020-09-09 00:00:00 +0200;Wednesday;15368;28;clear-day;
Planken (Ost), Mannheim;2020-09-10 00:00:00 +0200;Thursday;16724;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-11 00:00:00 +0200;Friday;17882;27;clear-day;
Planken (Ost), Mannheim;2020-09-12 00:00:00 +0200;Saturday;27125;29;clear-day;
Planken (Ost), Mannheim;2020-09-13 00:00:00 +0200;Sunday;6830;30;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-14 00:00:00 +0200;Monday;13123;32;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-15 00:00:00 +0200;Tuesday;13252;31;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-16 00:00:00 +0200;Wednesday;13621;30;cloudy;
Planken (Ost), Mannheim;2020-09-17 00:00:00 +0200;Thursday;14270;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-18 00:00:00 +0200;Friday;17208;26;clear-day;
Planken (Ost), Mannheim;2020-09-19 00:00:00 +0200;Saturday;29501;26;clear-day;
Planken (Ost), Mannheim;2020-09-20 00:00:00 +0200;Sunday;7467;26;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-21 00:00:00 +0200;Monday;14063;26;clear-day;
Planken (Ost), Mannheim;2020-09-22 00:00:00 +0200;Tuesday;13936;28;rain;
Planken (Ost), Mannheim;2020-09-23 00:00:00 +0200;Wednesday;13995;25;rain;
Planken (Ost), Mannheim;2020-09-24 00:00:00 +0200;Thursday;12984;22;rain;
Planken (Ost), Mannheim;2020-09-25 00:00:00 +0200;Friday;15590;15;rain;
Planken (Ost), Mannheim;2020-09-26 00:00:00 +0200;Saturday;23746;12;rain;
Planken (Ost), Mannheim;2020-09-27 00:00:00 +0200;Sunday;5429;14;rain;
Planken (Ost), Mannheim;2020-09-28 00:00:00 +0200;Monday;16650;18;partly-cloudy-day;
Planken (Ost), Mannheim;2020-09-29 00:00:00 +0200;Tuesday;14026;15;rain;
Planken (Ost), Mannheim;2020-09-30 00:00:00 +0200;Wednesday;17665;19;partly-cloudy-day;
Planken (Ost), Mannheim;2020-10-01 00:00:00 +0200;Thursday;16135;19;rain;
Planken (Ost), Mannheim;2020-10-02 00:00:00 +0200;Friday;22955;20;cloudy;
Planken (Ost), Mannheim;2020-10-03 00:00:00 +0200;Saturday;9583;18;rain;
Planken (Ost), Mannheim;2020-10-04 00:00:00 +0200;Sunday;7509;18;rain;
Planken (Ost), Mannheim;2020-10-05 00:00:00 +0200;Monday;15855;14;rain;
Planken (Ost), Mannheim;2020-10-06 00:00:00 +0200;Tuesday;14655;15;rain;
Planken (Ost), Mannheim;2020-10-07 00:00:00 +0200;Wednesday;16067;16;rain;
Planken (Ost), Mannheim;2020-10-08 00:00:00 +0200;Thursday;16329;17;rain;
Planken (Ost), Mannheim;2020-10-09 00:00:00 +0200;Friday;17947;17;rain;
Planken (Ost), Mannheim;2020-10-10 00:00:00 +0200;Saturday;33248;15;rain;
Planken (Ost), Mannheim;2020-10-11 00:00:00 +0200;Sunday;6394;14;rain;
