location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Große Bleichen, Hamburg;2020-08-25 00:00:00 +0200;Tuesday;13424;21;rain;
Große Bleichen, Hamburg;2020-08-26 00:00:00 +0200;Wednesday;8993;19;rain;
Große Bleichen, Hamburg;2020-08-27 00:00:00 +0200;Thursday;13882;19;rain;
Große Bleichen, Hamburg;2020-08-28 00:00:00 +0200;Friday;15303;20;rain;
Große Bleichen, Hamburg;2020-08-29 00:00:00 +0200;Saturday;18975;22;rain;
Große Bleichen, Hamburg;2020-08-30 00:00:00 +0200;Sunday;5234;24;rain;
Große Bleichen, Hamburg;2020-08-31 00:00:00 +0200;Monday;13675;21;rain;
Große Bleichen, Hamburg;2020-09-01 00:00:00 +0200;Tuesday;14082;21;clear-day;
Große Bleichen, Hamburg;2020-09-02 00:00:00 +0200;Wednesday;14140;22;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-03 00:00:00 +0200;Thursday;11310;19;rain;
Große Bleichen, Hamburg;2020-09-04 00:00:00 +0200;Friday;15538;21;rain;
Große Bleichen, Hamburg;2020-09-05 00:00:00 +0200;Saturday;19770;18;rain;
Große Bleichen, Hamburg;2020-09-06 00:00:00 +0200;Sunday;4227;18;rain;
Große Bleichen, Hamburg;2020-09-07 00:00:00 +0200;Monday;2;19;clear-day;
Große Bleichen, Hamburg;2020-09-07 00:00:00 +0200;Monday;13220;;;
Große Bleichen, Hamburg;2020-09-08 00:00:00 +0200;Tuesday;12969;20;cloudy;
Große Bleichen, Hamburg;2020-09-09 00:00:00 +0200;Wednesday;12130;22;rain;
Große Bleichen, Hamburg;2020-09-10 00:00:00 +0200;Thursday;13607;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-11 00:00:00 +0200;Friday;14992;20;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-12 00:00:00 +0200;Saturday;18978;20;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-13 00:00:00 +0200;Sunday;5233;23;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-14 00:00:00 +0200;Monday;13673;29;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-15 00:00:00 +0200;Tuesday;13314;30;cloudy;
Große Bleichen, Hamburg;2020-09-16 00:00:00 +0200;Wednesday;13377;24;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-17 00:00:00 +0200;Thursday;13587;18;clear-day;
Große Bleichen, Hamburg;2020-09-18 00:00:00 +0200;Friday;14683;20;partly-cloudy-day;
Große Bleichen, Hamburg;2020-09-19 00:00:00 +0200;Saturday;19715;21;cloudy;
Große Bleichen, Hamburg;2020-09-20 00:00:00 +0200;Sunday;5217;23;clear-day;
Große Bleichen, Hamburg;2020-09-21 00:00:00 +0200;Monday;13352;24;clear-day;
Große Bleichen, Hamburg;2020-09-22 00:00:00 +0200;Tuesday;13751;25;clear-day;
Große Bleichen, Hamburg;2020-09-23 00:00:00 +0200;Wednesday;13638;24;clear-day;
Große Bleichen, Hamburg;2020-09-24 00:00:00 +0200;Thursday;13726;19;rain;
Große Bleichen, Hamburg;2020-09-25 00:00:00 +0200;Friday;14903;17;rain;
Große Bleichen, Hamburg;2020-09-26 00:00:00 +0200;Saturday;16861;16;rain;
Große Bleichen, Hamburg;2020-09-27 00:00:00 +0200;Sunday;5268;16;rain;
Große Bleichen, Hamburg;2020-09-28 00:00:00 +0200;Monday;12790;15;rain;
Große Bleichen, Hamburg;2020-09-29 00:00:00 +0200;Tuesday;12385;18;clear-day;
Große Bleichen, Hamburg;2020-09-30 00:00:00 +0200;Wednesday;13896;19;rain;
